Year,Name,College,POS,Height,Weight,HandSize,ArmLength,Wonderlic,FortyYard,BenchPress,VertLeap,BroadJump,Shuttle,ThreeCone,SixtyYdShuttle,Touches,RushAvg,RushTDPct,RecAvg,RecTDPct,Rookie AV
2005,Marion Barber,Minnesota,RB,71.375,221,8.88,31.5,,4.53,20,40,122,,,,596,5.7,0.061,9,0,31
2005,Ronnie Brown,Auburn,RB,72.25,233,9.63,31.63,,4.46,18,34,117,4.08,7.1,,571,5.3,0.055,11.5,0.034,31
2005,Brandon Jacobs,Southern Illinois,RB,76.25,267,10.63,33.63,,4.56,19,37,118,4.46,7.53,11.98,73,6.2,0.042,34,0,24
2005,Ryan Grant,Notre Dame,RB,73.125,215,8.5,31.75,,4.5,17,33.5,115,4.12,7.08,10.65,586,4,0.032,5.5,0,17
2005,Carnell Williams,Auburn,RB,71,217,,,,4.43,19,35.5,118,4.17,6.95,,786,5.2,0.061,7.6,0.022,16
2005,Cedric Benson,Texas,RB,70.5,222,,,,,,,,,,,1181,5,0.058,9,0.043,14
2005,Darren Sproles,Kansas St.,RB,66.125,187,8.25,28.25,,4.49,23,33,102,3.96,6.96,11.13,881,6.1,0.055,9.2,0.03,13
2005,J.J. Arrington,California,RB,68.875,214,8.75,30.5,,4.45,18,35,116,4.1,6.81,11.07,438,6.6,0.051,7.1,0.071,12
2005,Vernand Morency,Oklahoma St.,RB,69.625,212,8.88,31.75,,4.51,19,33.5,108,4.12,7.02,,462,5.9,0.051,10.8,0.091,8
2005,Alvin Pearman,Virginia,RB,69.375,208,9.25,30.38,,4.65,24,34,112,4.08,7.06,11.11,638,4.8,0.038,10.1,0.058,5
2005,Cedric Houston,Tennessee,RB,70.75,225,,,,,,,,,,,540,5.3,0.034,9.5,0.026,5
2005,Noah Herron,Northwestern,RB,71,224,9.13,31.75,,4.67,17,31,107,3.97,6.95,11.07,534,5.5,0.056,10.8,0.028,3
2005,Ryan Moats,Louisiana Tech,RB,68.25,210,8.88,31.5,,4.49,19,36,116,4.1,7.22,11.13,547,6.2,0.056,9.2,0.042,3
2005,Ciatrick Fason,Florida,RB,72.75,207,,,,,,,,,,,361,6,0.044,8.9,0.109,1
2005,Alex Haynes,Central Florida,RB,69.875,223,10.25,31.63,,4.54,21,32.5,,,,,830,4.5,0.036,7.5,0.011,0
2005,Bobby Purify,Colorado,RB,72.375,212,,,,4.67,15,33.5,116,4.17,7.22,,673,5,0.032,9.8,0.018,0
2005,DeCori Birmingham,Arkansas,RB,69.75,210,9,30.38,,4.59,14,34.5,115,4.28,7.13,11.75,290,4.9,0.03,10.4,0.105,0
2005,Kay-Jay Harris,West Virginia,RB,72.375,241,10,31.63,,4.6,,38,119,4.1,7.2,11.65,281,5.8,0.055,11.7,0.12,0
2005,Nehemiah Broughton,The Citadel,RB,71.5,250,9.75,32.38,,4.61,25,30,108,4.28,7.54,11.91,0,,,,,0
2005,Ray Hudson,Alabama,RB,69.75,192,9.13,29.63,,4.5,15,,,,,,308,5.9,0.025,11.1,0.1,0
2005,T.A. McLendon,North Carolina St.,RB,70.25,235,8.63,31.88,,4.74,27,35,115,4.19,7.34,,635,4.6,0.061,9.2,0.032,0
2005,Anthony Davis,Wisconsin,RB,66.625,200,8.63,29.75,,4.53,18,38,119,,7.39,,930,5.1,0.046,9,0,0
2005,DeAndra Cobb,Michigan St.,RB,69.75,196,8.88,31.25,,4.53,17,34,118,4.25,7.13,11.72,149,6.7,0.03,5.9,0,0
2005,Eric Shelton,Louisville,RB,73.5,246,9.5,33.63,,4.57,,38.5,122,4.08,7.46,,348,5.4,0.088,7.7,0,0
2005,Lionel Gates,Louisville,RB,71.625,222,10.13,31.13,,4.72,23,36,118,4.1,7.17,,359,4.7,0.063,11.7,0.05,0
2005,Maurice Clarett,Ohio St.,RB,71.63,234,9.5,30.75,,4.84,22,34,113,,,,234,5.6,0.072,8.7,0.167,0
