yearID,franchName,WinTotal,LossTotal,ThreeYearWPCT
1971,Chicago White Sox,214,267,0.445
1972,Chicago White Sox,197,229,0.462
1973,Chicago White Sox,211,217,0.493
1974,Chicago White Sox,240,190,0.558
1975,Chicago White Sox,260,226,0.535
1976,Chicago White Sox,258,228,0.531
1977,Chicago White Sox,231,255,0.475
1978,Chicago White Sox,234,252,0.481
1979,Chicago White Sox,220,265,0.454
1980,Chicago White Sox,217,267,0.448
1981,Chicago White Sox,234,250,0.483
1982,Chicago White Sox,250,235,0.515
1983,Chicago White Sox,267,219,0.549
1984,Chicago White Sox,267,219,0.549
1985,Chicago White Sox,247,190,0.565
1986,Chicago White Sox,229,190,0.547
1987,Chicago White Sox,220,199,0.525
1988,Chicago White Sox,233,234,0.499
1989,Chicago White Sox,245,240,0.505
1990,Chicago White Sox,235,249,0.486
1991,Chicago White Sox,250,235,0.515
1992,Chicago White Sox,253,232,0.522
1993,Chicago White Sox,259,227,0.533
1994,Chicago White Sox,250,236,0.514
1995,Chicago White Sox,250,236,0.514
1996,Chicago White Sox,268,218,0.551
1997,Chicago White Sox,272,214,0.56
1998,Chicago White Sox,261,225,0.537
1999,Chicago White Sox,251,236,0.515
2000,Chicago White Sox,240,247,0.493
2001,Chicago White Sox,256,231,0.526
2002,Chicago White Sox,246,240,0.506
2003,Chicago White Sox,252,234,0.519
2004,Chicago White Sox,227,259,0.467
2005,Chicago White Sox,221,265,0.455
2006,Chicago White Sox,212,274,0.436
2007,Chicago White Sox,227,259,0.467
2008,Chicago White Sox,221,265,0.455
2009,Chicago White Sox,207,279,0.426
2010,Chicago White Sox,201,284,0.414
1965,Cincinnati Reds,292,186,0.611
1966,Cincinnati Reds,305,181,0.628
1967,Cincinnati Reds,308,178,0.634
1968,Cincinnati Reds,298,188,0.613
1969,Cincinnati Reds,282,203,0.581
1970,Cincinnati Reds,270,214,0.558
1971,Cincinnati Reds,271,213,0.56
1972,Cincinnati Reds,245,186,0.568
